Frequency (Hz)	Level (dB)
195.144653	-49.144478
195.817566	-47.534855
196.490479	-46.817314
197.163391	-46.601738
197.836304	-46.511566
198.509216	-46.753460
199.182129	-49.499374
199.855042	-50.395905
200.527954	-50.692024
201.200867	-50.793396
201.873779	-49.830261
202.546692	-48.128460
203.219604	-47.669525
203.892517	-47.745209
204.565430	-47.626907
205.238342	-44.698780
205.911255	-47.046009
206.584167	-46.015453
207.257080	-44.421333
207.929993	-45.632202
208.602905	-45.103546
209.275818	-45.898899
209.948730	-45.882698
210.621643	-46.544994
211.294556	-45.509773
211.967468	-44.260159
212.640381	-45.446526
213.313293	-46.200592
213.986206	-45.352722
214.659119	-46.488689
215.332031	-43.357845
216.004944	-43.430607
216.677856	-43.110405
217.350769	-41.415756
218.023682	-40.368500
218.696594	-39.558632
219.369507	-41.405228
220.042419	-41.063385
220.715332	-41.347694
221.388245	-43.872478
222.061157	-45.400066
222.734070	-45.701080
223.406982	-45.307308
224.079895	-45.142193
224.752808	-44.487499
225.425720	-44.016735
226.098633	-43.155033
226.771545	-43.615654
227.444458	-43.932880
228.117371	-44.076733
228.790283	-46.898964
229.463196	-47.203835
230.136108	-48.678471
230.809021	-49.461216
231.481934	-46.606682
232.154846	-43.457291
232.827759	-41.236839
233.500671	-40.488476
234.173584	-41.328510
234.846497	-42.402519
235.519409	-43.897915
236.192322	-45.599224
236.865234	-45.585327
237.538147	-45.191303
238.211060	-43.738159
238.883972	-45.579460
239.556885	-44.236870
240.229797	-47.895107
240.902710	-48.009453
241.575623	-45.360828
242.248535	-45.897800
242.921448	-45.312077
243.594360	-47.222813
244.267273	-50.526669
244.940186	-51.095196
245.613098	-50.447353
246.286011	-49.910435
246.958923	-49.802670
247.631836	-50.249279
248.304749	-50.659481
248.977661	-53.022926
249.650574	-52.242451
250.323486	-51.053532
250.996399	-52.061951
251.669312	-50.919647
252.342224	-50.708580
253.015137	-50.694553
253.688049	-50.332752
254.360962	-49.273087
255.033875	-47.926216
255.706787	-47.384956
256.379700	-47.275036
257.052612	-47.248959
257.725525	-47.841248
258.398438	-48.546753
259.071350	-49.618351
259.744263	-51.873436
260.417175	-52.878532
261.090088	-50.802025
261.763000	-49.374905
262.435913	-48.039612
263.108826	-47.080509
263.781738	-46.983913
264.454651	-47.520393
265.127563	-49.069656
265.800476	-51.015926
266.473389	-51.933407
267.146301	-51.597145
267.819214	-49.351429
268.492126	-47.677376
269.165039	-48.275551
269.837952	-49.594063
270.510864	-51.723469
271.183777	-52.892826
271.856689	-51.979408
272.529602	-51.798317
273.202515	-51.307034
273.875427	-50.674530
274.548340	-50.831627
275.221252	-50.792011
275.894165	-50.138897
276.567078	-51.278946
277.239990	-51.656464
277.912903	-49.796852
278.585815	-50.344517
279.258728	-50.713245
279.931641	-50.055996
280.604553	-50.479301
281.277466	-51.447601
281.950378	-53.650234
282.623291	-54.995346
283.296204	-53.824860
283.969116	-55.458755
284.642029	-56.913914
285.314941	-55.029587
285.987854	-53.343750
286.660767	-53.731636
287.333679	-53.496658
288.006592	-53.366570
288.679504	-53.720181
289.352417	-53.805191
290.025330	-52.889202
290.698242	-54.331730
291.371155	-56.168274
292.044067	-55.741676
292.716980	-53.693451
293.389893	-52.328026
294.062805	-49.841450
294.735718	-49.171806
295.408630	-50.524776
296.081543	-51.877384
296.754456	-52.291958
297.427368	-53.485054
298.100281	-52.680523
298.773193	-51.040092
299.446106	-51.784901
300.119019	-50.973408
300.791931	-50.794899
301.464844	-50.722290
302.137756	-51.777462
302.810669	-51.317898
303.483582	-51.733143
304.156494	-51.817112
304.829407	-52.744156
305.502319	-52.879627
306.175232	-53.263611
306.848145	-52.164093
307.521057	-53.362358
308.193970	-52.313686
308.866882	-50.561550
309.539795	-50.034931
310.212708	-49.546803
310.885620	-49.578255
311.558533	-49.161404
312.231445	-48.622101
312.904358	-49.992447
313.577271	-51.113419
314.250183	-51.690491
314.923096	-52.273697
315.596008	-53.618111
316.268921	-53.351715
316.941833	-51.820240
317.614746	-53.900059
318.287659	-52.648632
318.960571	-53.627434
319.633484	-52.734184
320.306396	-54.008781
320.979309	-51.588997
321.652222	-50.579544
322.325134	-54.241558
322.998047	-53.987751
323.670959	-54.886143
324.343872	-56.916302
325.016785	-57.786777
325.689697	-53.137280
326.362610	-57.346893
327.035522	-52.552357
327.708435	-52.618858
328.381348	-52.327095
329.054260	-54.174545
329.727173	-50.334435
330.400085	-54.990871
331.072998	-52.889111
331.745911	-53.585564
